clusterName,markerGene,score
e1_e299_SLC17A7_L5b_Cdh13,LINC00507,0.9597411933860532
g1_g48_GLI3_Astro_Gja1,LINC00498,0.95
g2_g27_APBB1IP_Micro_Ctss,SYK,0.9223300970873787
g3_g18_GPNMB_OPC_Pdgfra,COL20A1,0.8333333333333334
g4_g9_MOG_Oligo_Opalin,CNDP1,0.975609756097561
i10_i16_TSPAN12_Vip_Mybpc1,TSPAN12,0.8035714285714286
i10_i16_TSPAN12_Vip_Mybpc1,CHRNB3,0.8035714285714286
i11_i6_EGF_Vip_Mybpc1,FZD8,0.5555555555555556
i1_i90_COL5A2_Ndnf_Car4,COL5A2,0.8453237410071942
i1_i90_COL5A2_Ndnf_Car4,TRPC3,0.8453237410071942
i2_i77_LHX6_Sst_Cbln4,LHX6,0.8571428571428571
i2_i77_LHX6_Sst_Cbln4,GRIK3,0.8571428571428571
i3_i56_BAGE2_Ndnf_Cxcl14,SCN5A,0.6418918918918919
i3_i56_BAGE2_Ndnf_Cxcl14,GREM2,0.6418918918918919
i4_i54_MC4R_Ndnf_Cxcl14,ADAM33,0.7831325301204819
i4_i54_MC4R_Ndnf_Cxcl14,NDNF,0.7831325301204819
i4_i54_MC4R_Ndnf_Cxcl14,CD36,0.7831325301204819
i5_i47_TRPC3_Ndnf_Car4,TRPC3,0.8278145695364238
i5_i47_TRPC3_Ndnf_Car4,CA2,0.8278145695364238
i6_i44_GPR149_Vip_Mybpc1,CXCL12,0.7352941176470589
i6_i44_GPR149_Vip_Mybpc1,SHISA8,0.7352941176470589
i7_i31_CLMP_Ndnf_Cxcl14,RASSF3,0.8411214953271028
i7_i31_CLMP_Ndnf_Cxcl14,PAX6,0.8411214953271028
i7_i31_CLMP_Ndnf_Cxcl14,CPLX3,0.8411214953271028
i8_i27_SNCG_Vip_Mybpc1,SNCG,0.759493670886076
i8_i27_SNCG_Vip_Mybpc1,EDNRA,0.759493670886076
i9_i22_TAC3_Vip_Mybpc1,MCTP2,0.8064516129032258
i9_i22_TAC3_Vip_Mybpc1,ANGPT1,0.8064516129032258
