clusterName,markerGene,onTarget_per_gene,onTarget
e1_e299_SLC17A7_L5b_Cdh13,LINC00507,0.7926141,0.7926141
g1_g48_GLI3_Astro_Gja1,LINC00498,1.0,1.0
g2_g27_APBB1IP_Micro_Ctss,SYK,1.0,1.0
g3_g18_GPNMB_OPC_Pdgfra,COL20A1,1.0,1.0
g4_g9_MOG_Oligo_Opalin,CNDP1,1.0,1.0
i10_i16_TSPAN12_Vip_Mybpc1,TSPAN12,1.0,0.783762
i10_i16_TSPAN12_Vip_Mybpc1,CHRNB3,0.567524,0.783762
i11_i6_EGF_Vip_Mybpc1,FZD8,1.0,1.0
i1_i90_COL5A2_Ndnf_Car4,COL5A2,0.8222048,0.6189059
i1_i90_COL5A2_Ndnf_Car4,TRPC3,0.41560695,0.6189059
i2_i77_LHX6_Sst_Cbln4,LHX6,1.0,0.94205827
i2_i77_LHX6_Sst_Cbln4,GRIK3,0.88411653,0.94205827
i3_i56_BAGE2_Ndnf_Cxcl14,SCN5A,0.68364084,0.53121114
i3_i56_BAGE2_Ndnf_Cxcl14,GREM2,0.37878147,0.53121114
i4_i54_MC4R_Ndnf_Cxcl14,ADAM33,0.42046642,0.35176563
i4_i54_MC4R_Ndnf_Cxcl14,NDNF,0.35176563,0.35176563
i4_i54_MC4R_Ndnf_Cxcl14,CD36,0.34088913,0.35176563
i5_i47_TRPC3_Ndnf_Car4,TRPC3,0.5843931,0.4484825
i5_i47_TRPC3_Ndnf_Car4,CA2,0.31257197,0.4484825
i6_i44_GPR149_Vip_Mybpc1,CXCL12,1.0,0.77330136
i6_i44_GPR149_Vip_Mybpc1,SHISA8,0.5466027,0.77330136
i7_i31_CLMP_Ndnf_Cxcl14,RASSF3,1.0,0.6293888
i7_i31_CLMP_Ndnf_Cxcl14,PAX6,0.6293888,0.6293888
i7_i31_CLMP_Ndnf_Cxcl14,CPLX3,0.5254612,0.6293888
i8_i27_SNCG_Vip_Mybpc1,SNCG,1.0,1.0
i8_i27_SNCG_Vip_Mybpc1,EDNRA,1.0,1.0
i9_i22_TAC3_Vip_Mybpc1,MCTP2,1.0,0.7528417
i9_i22_TAC3_Vip_Mybpc1,ANGPT1,0.5056834,0.7528417
