software_version,cluster_header,clusterName,clusterSize,f_score,precision,recall,TN,FP,FN,TP,marker_count,NSForest_markers,binary_genes,onTarget
4.2,cluster,e1_e299_SLC17A7_L5b_Cdh13,299,0.9597411933860532,0.978021978021978,0.8929765886287625,566,6,32,267,1,['LINC00507'],"['SLC17A7', 'LINC00508', 'TBR1', 'ANKRD33B', 'NPTX1', 'LINC00507', 'TESPA1', 'SATB2', 'SV2B', 'MLIP']",0.7926141
4.2,cluster,g1_g48_GLI3_Astro_Gja1,48,0.95,1.0,0.7916666666666666,823,0,10,38,1,['LINC00498'],"['SLC25A18', 'LINC00498', 'FGFR3', 'EMX2OS', 'PAPLN', 'SLC7A11', 'F3', 'PAMR1', 'AQP4', 'ATP1A2']",1.0
4.2,cluster,g2_g27_APBB1IP_Micro_Ctss,27,0.9223300970873787,1.0,0.7037037037037037,844,0,8,19,1,['SYK'],"['CSF2RA', 'SYK', 'MS4A7', 'IKZF1', 'FGD2', 'CX3CR1', 'C1QC', 'LAPTM5', 'LINC00996', 'P2RY13']",1.0
4.2,cluster,g3_g18_GPNMB_OPC_Pdgfra,18,0.8333333333333334,1.0,0.5,853,0,9,9,1,['COL20A1'],"['COL20A1', 'STK32A', 'OLIG2', 'KLRC2', 'CSPG4', 'B3GNT7', 'KLRC3', 'COL9A1', 'OLIG1', 'APOD']",1.0
4.2,cluster,g4_g9_MOG_Oligo_Opalin,9,0.975609756097561,1.0,0.8888888888888888,862,0,1,8,1,['CNDP1'],"['MOBP', 'CD22', 'CNDP1', 'TF', 'ASPA', 'PPP1R14A', 'CLMN', 'CERCAM', 'PLP1', 'FAM107B']",1.0
4.2,cluster,i10_i16_TSPAN12_Vip_Mybpc1,16,0.8035714285714286,0.9,0.5625,854,1,7,9,2,"['TSPAN12', 'CHRNB3']","['TSPAN12', 'LINC01539', 'TMC5', 'CHRNB3', 'ANGPT1', 'DCN', 'WIF1', 'HCRTR2', 'ILF2', 'CRH']",0.783762
4.2,cluster,i11_i6_EGF_Vip_Mybpc1,6,0.5555555555555556,0.6666666666666666,0.3333333333333333,864,1,4,2,1,['FZD8'],"['EGF', 'FZD8', 'BRAT1', 'RHPN1', 'SLC47A2', 'GOLGA2P8', 'LINC00861', 'MLX', 'FAM133A', 'SNRPD1']",1.0
4.2,cluster,i1_i90_COL5A2_Ndnf_Car4,90,0.8453237410071942,1.0,0.5222222222222223,781,0,43,47,2,"['COL5A2', 'TRPC3']","['NMBR', 'BMP2', 'COL5A2', 'ADRA1D', 'TRPC3', 'PAPSS2', 'BMP6', 'CBLN4', 'NDNF', 'FREM1']",0.6189059
4.2,cluster,i2_i77_LHX6_Sst_Cbln4,77,0.8571428571428571,1.0,0.5454545454545454,794,0,35,42,2,"['LHX6', 'GRIK3']","['LHX6', 'CALB1', 'TAC1', 'RSPO3', 'TRBC2', 'GRIK3', 'RNF152', 'CNTNAP3', 'CUX2', 'NXPH2']",0.94205827
4.2,cluster,i3_i56_BAGE2_Ndnf_Cxcl14,56,0.6418918918918919,0.8260869565217391,0.3392857142857143,811,4,37,19,2,"['SCN5A', 'GREM2']","['SCN5A', 'ST8SIA2', 'GREM2', 'SYT10', 'ARHGAP18', 'ZNF423', 'GRB14', 'PCDH18', 'CD36', 'AVEN']",0.53121114
4.2,cluster,i4_i54_MC4R_Ndnf_Cxcl14,54,0.7831325301204819,0.9285714285714286,0.48148148148148145,815,2,28,26,3,"['ADAM33', 'NDNF', 'CD36']","['EGFL6', 'ADAM33', 'PGAM1P5', 'CHRNB3', 'NDNF', 'CD36', 'ASIC4', 'BCAS1', 'RXRG', 'UNC5B']",0.35176563
4.2,cluster,i5_i47_TRPC3_Ndnf_Car4,47,0.8278145695364238,0.9615384615384616,0.5319148936170213,823,1,22,25,2,"['TRPC3', 'CA2']","['SOX13', 'SSTR2', 'TRPC3', 'PAPSS2', 'CA2', 'HAPLN1', 'TACR1', 'TOX2', 'NXPH2', 'ST6GAL2']",0.4484825
4.2,cluster,i6_i44_GPR149_Vip_Mybpc1,44,0.7352941176470589,0.8695652173913043,0.45454545454545453,824,3,24,20,2,"['CXCL12', 'SHISA8']","['CXCL12', 'IL12RB2', 'SHISA8', 'IGFBP5', 'PXDN', 'ASIC4', 'LGI2', 'PTHLH', 'TBL1X', 'CCNG2']",0.77330136
4.2,cluster,i7_i31_CLMP_Ndnf_Cxcl14,31,0.8411214953271028,0.9473684210526315,0.5806451612903226,839,1,13,18,3,"['RASSF3', 'PAX6', 'CPLX3']","['FGF10', 'RASSF3', 'CLMP', 'PAX6', 'SP8', 'CPLX3', 'TGFBR2', 'BCHE', 'WIF1', 'ABCB5']",0.6293888
4.2,cluster,i8_i27_SNCG_Vip_Mybpc1,27,0.759493670886076,0.9230769230769231,0.4444444444444444,843,1,15,12,2,"['SNCG', 'EDNRA']","['SNCG', 'EDNRA', 'MMRN2', 'FBN3', 'RGS2', 'SCML4', 'NRP2', 'LYPD1', 'SAMD5', 'ARHGAP18']",1.0
4.2,cluster,i9_i22_TAC3_Vip_Mybpc1,22,0.8064516129032258,1.0,0.45454545454545453,849,0,12,10,2,"['MCTP2', 'ANGPT1']","['BSPRY', 'MCTP2', 'OFD1P10Y', 'FHDC1', 'ARHGAP29', 'ANGPT1', 'FOSL2', 'ZBTB18', 'PTHLH', 'CHRNA2']",0.7528417
