clusterName,binary_genes,rf_feature_importance,cluster_median,binary_score
e1_e299_SLC17A7_L5b_Cdh13,SLC17A7,0.04209922041573112,5.9541965,1.0
e1_e299_SLC17A7_L5b_Cdh13,LINC00508,0.022724883680535064,6.066089,1.0
e1_e299_SLC17A7_L5b_Cdh13,TBR1,0.021940894080890564,3.4594316,1.0
e1_e299_SLC17A7_L5b_Cdh13,ANKRD33B,0.021677182626270677,5.321928,1.0
e1_e299_SLC17A7_L5b_Cdh13,NPTX1,0.020020741245950963,6.426265,0.9896259069442749
e1_e299_SLC17A7_L5b_Cdh13,LINC00507,0.025804397862722466,7.643856,0.9825567960739136
e1_e299_SLC17A7_L5b_Cdh13,TESPA1,0.034889229006170454,8.28077,0.9194922049840292
e1_e299_SLC17A7_L5b_Cdh13,SATB2,0.04809046434971692,8.826549,0.8958258072535197
e1_e299_SLC17A7_L5b_Cdh13,SV2B,0.040692293818329894,8.672425,0.8432793736457824
e1_e299_SLC17A7_L5b_Cdh13,MLIP,0.04923741393356952,9.703903,0.8364764253298441
g1_g48_GLI3_Astro_Gja1,SLC25A18,0.035825667188783925,7.845149,1.0
g1_g48_GLI3_Astro_Gja1,LINC00498,0.031227873285928118,4.39068,1.0
g1_g48_GLI3_Astro_Gja1,FGFR3,0.0310048256689395,6.701373,1.0
g1_g48_GLI3_Astro_Gja1,EMX2OS,0.024842883694364326,6.0758257,1.0
g1_g48_GLI3_Astro_Gja1,PAPLN,0.019620052551959616,6.746302,1.0
g1_g48_GLI3_Astro_Gja1,SLC7A11,0.022494687632256413,8.8567505,0.992472783724467
g1_g48_GLI3_Astro_Gja1,F3,0.04908701835864433,9.168667,0.9854577223459879
g1_g48_GLI3_Astro_Gja1,PAMR1,0.028186538409968372,8.826324,0.9848936716715495
g1_g48_GLI3_Astro_Gja1,AQP4,0.050916600672570526,9.976435,0.9707481106122334
g1_g48_GLI3_Astro_Gja1,ATP1A2,0.048018524717379045,9.542015,0.9513942003250122
g2_g27_APBB1IP_Micro_Ctss,CSF2RA,0.0640873548594649,7.499846,1.0
g2_g27_APBB1IP_Micro_Ctss,SYK,0.03183750665651224,7.491853,1.0
g2_g27_APBB1IP_Micro_Ctss,MS4A7,0.04181935009919561,7.8887434,1.0
g2_g27_APBB1IP_Micro_Ctss,IKZF1,0.03163860357613498,6.9886847,1.0
g2_g27_APBB1IP_Micro_Ctss,FGD2,0.030913903234575716,7.330917,1.0
g2_g27_APBB1IP_Micro_Ctss,CX3CR1,0.028048108543193482,9.303781,1.0
g2_g27_APBB1IP_Micro_Ctss,C1QC,0.030082969106053334,5.83289,1.0
g2_g27_APBB1IP_Micro_Ctss,LAPTM5,0.022271216585811014,4.523562,1.0
g2_g27_APBB1IP_Micro_Ctss,LINC00996,0.026661757736851154,4.9541965,1.0
g2_g27_APBB1IP_Micro_Ctss,P2RY13,0.027308826364457375,8.968667,1.0
g3_g18_GPNMB_OPC_Pdgfra,COL20A1,0.03381828649778199,6.0998363,1.0
g3_g18_GPNMB_OPC_Pdgfra,STK32A,0.037383419288590444,8.613013,1.0
g3_g18_GPNMB_OPC_Pdgfra,OLIG2,0.039267196870730686,4.2459264,1.0
g3_g18_GPNMB_OPC_Pdgfra,KLRC2,0.025744235219481375,2.660964,1.0
g3_g18_GPNMB_OPC_Pdgfra,CSPG4,0.029827146417965033,4.8536797,1.0
g3_g18_GPNMB_OPC_Pdgfra,B3GNT7,0.03022712976355999,3.8255258,1.0
g3_g18_GPNMB_OPC_Pdgfra,KLRC3,0.03352499155027648,3.5276413,1.0
